,time,relativehumidity_2m,cloudcover,latitude,longitude
235,2017-06-02T19:00,78,2,40.634,14.6027
236,2017-06-02T20:00,72,12,40.634,14.6027
237,2017-06-02T21:00,79,14,40.634,14.6027
238,2017-06-02T22:00,83,18,40.634,14.6027
239,2017-06-02T23:00,82,19,40.634,14.6027
240,2017-06-03T00:00,82,16,40.634,14.6027
241,2017-06-03T01:00,85,9,40.634,14.6027
242,2017-06-03T02:00,87,40,40.634,14.6027
243,2017-06-03T03:00,88,59,40.634,14.6027
244,2017-06-03T04:00,88,48,40.634,14.6027
245,2017-06-03T05:00,87,41,40.634,14.6027
246,2017-06-03T06:00,83,27,40.634,14.6027
247,2017-06-03T07:00,85,21,40.634,14.6027
248,2017-06-03T08:00,82,7,40.634,14.6027
249,2017-06-03T09:00,71,3,40.634,14.6027
250,2017-06-03T10:00,66,0,40.634,14.6027
251,2017-06-03T11:00,63,0,40.634,14.6027
252,2017-06-03T12:00,61,2,40.634,14.6027
253,2017-06-03T13:00,59,0,40.634,14.6027
254,2017-06-03T14:00,60,23,40.634,14.6027
255,2017-06-03T15:00,69,26,40.634,14.6027
256,2017-06-03T16:00,67,8,40.634,14.6027
257,2017-06-03T17:00,68,8,40.634,14.6027
258,2017-06-03T18:00,74,6,40.634,14.6027
259,2017-06-03T19:00,79,5,40.634,14.6027
260,2017-06-03T20:00,75,5,40.634,14.6027
261,2017-06-03T21:00,83,2,40.634,14.6027
262,2017-06-03T22:00,84,3,40.634,14.6027
263,2017-06-03T23:00,83,0,40.634,14.6027
264,2017-06-04T00:00,82,7,40.634,14.6027
265,2017-06-04T01:00,84,7,40.634,14.6027
266,2017-06-04T02:00,88,11,40.634,14.6027
267,2017-06-04T03:00,91,16,40.634,14.6027
268,2017-06-04T04:00,90,63,40.634,14.6027
269,2017-06-04T05:00,87,73,40.634,14.6027
270,2017-06-04T06:00,86,72,40.634,14.6027
271,2017-06-04T07:00,88,58,40.634,14.6027
272,2017-06-04T08:00,84,47,40.634,14.6027
273,2017-06-04T09:00,78,37,40.634,14.6027
274,2017-06-04T10:00,72,38,40.634,14.6027
275,2017-06-04T11:00,67,26,40.634,14.6027
276,2017-06-04T12:00,66,20,40.634,14.6027
277,2017-06-04T13:00,64,10,40.634,14.6027
278,2017-06-04T14:00,64,3,40.634,14.6027
279,2017-06-04T15:00,68,6,40.634,14.6027
280,2017-06-04T16:00,69,6,40.634,14.6027
281,2017-06-04T17:00,71,1,40.634,14.6027
282,2017-06-04T18:00,78,14,40.634,14.6027
283,2017-06-04T19:00,82,19,40.634,14.6027
284,2017-06-04T20:00,83,29,40.634,14.6027
285,2017-06-04T21:00,85,30,40.634,14.6027
286,2017-06-04T22:00,85,29,40.634,14.6027
287,2017-06-04T23:00,86,30,40.634,14.6027
288,2017-06-05T00:00,87,29,40.634,14.6027
289,2017-06-05T01:00,90,36,40.634,14.6027
290,2017-06-05T02:00,90,41,40.634,14.6027
291,2017-06-05T03:00,90,44,40.634,14.6027
292,2017-06-05T04:00,89,50,40.634,14.6027
293,2017-06-05T05:00,91,50,40.634,14.6027
294,2017-06-05T06:00,89,46,40.634,14.6027
295,2017-06-05T07:00,85,47,40.634,14.6027
296,2017-06-05T08:00,80,11,40.634,14.6027
297,2017-06-05T09:00,69,5,40.634,14.6027
298,2017-06-05T10:00,65,7,40.634,14.6027
299,2017-06-05T11:00,61,20,40.634,14.6027
300,2017-06-05T12:00,59,51,40.634,14.6027
301,2017-06-05T13:00,58,71,40.634,14.6027
302,2017-06-05T14:00,58,52,40.634,14.6027
303,2017-06-05T15:00,58,9,40.634,14.6027
304,2017-06-05T16:00,60,18,40.634,14.6027
305,2017-06-05T17:00,64,36,40.634,14.6027
306,2017-06-05T18:00,72,4,40.634,14.6027
307,2017-06-05T19:00,78,23,40.634,14.6027
308,2017-06-05T20:00,75,35,40.634,14.6027
309,2017-06-05T21:00,77,36,40.634,14.6027
310,2017-06-05T22:00,80,49,40.634,14.6027
311,2017-06-05T23:00,83,65,40.634,14.6027
312,2017-06-06T00:00,84,72,40.634,14.6027
313,2017-06-06T01:00,84,63,40.634,14.6027
314,2017-06-06T02:00,84,47,40.634,14.6027
315,2017-06-06T03:00,86,33,40.634,14.6027
316,2017-06-06T04:00,87,23,40.634,14.6027
317,2017-06-06T05:00,88,30,40.634,14.6027
318,2017-06-06T06:00,89,50,40.634,14.6027
319,2017-06-06T07:00,87,53,40.634,14.6027
320,2017-06-06T08:00,84,51,40.634,14.6027
321,2017-06-06T09:00,75,66,40.634,14.6027
322,2017-06-06T10:00,72,83,40.634,14.6027
323,2017-06-06T11:00,74,64,40.634,14.6027
324,2017-06-06T12:00,76,73,40.634,14.6027
325,2017-06-06T13:00,69,53,40.634,14.6027
326,2017-06-06T14:00,68,41,40.634,14.6027
327,2017-06-06T15:00,67,34,40.634,14.6027
328,2017-06-06T16:00,67,21,40.634,14.6027
329,2017-06-06T17:00,66,25,40.634,14.6027
330,2017-06-06T18:00,71,30,40.634,14.6027
331,2017-06-06T19:00,73,30,40.634,14.6027
332,2017-06-06T20:00,78,37,40.634,14.6027
333,2017-06-06T21:00,81,41,40.634,14.6027
334,2017-06-06T22:00,82,44,40.634,14.6027
335,2017-06-06T23:00,85,33,40.634,14.6027
336,2017-06-07T00:00,84,25,40.634,14.6027
337,2017-06-07T01:00,86,34,40.634,14.6027
338,2017-06-07T02:00,87,35,40.634,14.6027
339,2017-06-07T03:00,88,25,40.634,14.6027
340,2017-06-07T04:00,87,29,40.634,14.6027
341,2017-06-07T05:00,88,53,40.634,14.6027
342,2017-06-07T06:00,86,41,40.634,14.6027
343,2017-06-07T07:00,84,30,40.634,14.6027
344,2017-06-07T08:00,80,18,40.634,14.6027
345,2017-06-07T09:00,69,23,40.634,14.6027
346,2017-06-07T10:00,67,15,40.634,14.6027
347,2017-06-07T11:00,63,30,40.634,14.6027
348,2017-06-07T12:00,62,38,40.634,14.6027
349,2017-06-07T13:00,61,24,40.634,14.6027
350,2017-06-07T14:00,62,34,40.634,14.6027
351,2017-06-07T15:00,65,25,40.634,14.6027
352,2017-06-07T16:00,66,15,40.634,14.6027
353,2017-06-07T17:00,66,4,40.634,14.6027
354,2017-06-07T18:00,71,1,40.634,14.6027
355,2017-06-07T19:00,73,0,40.634,14.6027
356,2017-06-07T20:00,74,0,40.634,14.6027
357,2017-06-07T21:00,77,2,40.634,14.6027
358,2017-06-07T22:00,77,2,40.634,14.6027
359,2017-06-07T23:00,78,30,40.634,14.6027
360,2017-06-08T00:00,80,32,40.634,14.6027
361,2017-06-08T01:00,83,61,40.634,14.6027
362,2017-06-08T02:00,86,58,40.634,14.6027
363,2017-06-08T03:00,86,56,40.634,14.6027
364,2017-06-08T04:00,86,36,40.634,14.6027
365,2017-06-08T05:00,87,34,40.634,14.6027
366,2017-06-08T06:00,83,15,40.634,14.6027
367,2017-06-08T07:00,78,6,40.634,14.6027
368,2017-06-08T08:00,71,3,40.634,14.6027
369,2017-06-08T09:00,60,1,40.634,14.6027
370,2017-06-08T10:00,55,0,40.634,14.6027
371,2017-06-08T11:00,52,2,40.634,14.6027
372,2017-06-08T12:00,52,3,40.634,14.6027
373,2017-06-08T13:00,52,26,40.634,14.6027
374,2017-06-08T14:00,54,30,40.634,14.6027
375,2017-06-08T15:00,56,39,40.634,14.6027
376,2017-06-08T16:00,58,40,40.634,14.6027
377,2017-06-08T17:00,59,27,40.634,14.6027
378,2017-06-08T18:00,64,22,40.634,14.6027
379,2017-06-08T19:00,67,16,40.634,14.6027
380,2017-06-08T20:00,67,9,40.634,14.6027
381,2017-06-08T21:00,71,5,40.634,14.6027
382,2017-06-08T22:00,74,2,40.634,14.6027
383,2017-06-08T23:00,75,3,40.634,14.6027
384,2017-06-09T00:00,77,3,40.634,14.6027
385,2017-06-09T01:00,78,5,40.634,14.6027
386,2017-06-09T02:00,80,5,40.634,14.6027
387,2017-06-09T03:00,82,8,40.634,14.6027
388,2017-06-09T04:00,83,8,40.634,14.6027
389,2017-06-09T05:00,84,9,40.634,14.6027
390,2017-06-09T06:00,77,6,40.634,14.6027
391,2017-06-09T07:00,70,8,40.634,14.6027
392,2017-06-09T08:00,64,8,40.634,14.6027
393,2017-06-09T09:00,57,6,40.634,14.6027
394,2017-06-09T10:00,57,5,40.634,14.6027
395,2017-06-09T11:00,58,41,40.634,14.6027
396,2017-06-09T12:00,59,51,40.634,14.6027
397,2017-06-09T13:00,59,28,40.634,14.6027
398,2017-06-09T14:00,65,21,40.634,14.6027
399,2017-06-09T15:00,66,10,40.634,14.6027
400,2017-06-09T16:00,67,7,40.634,14.6027
401,2017-06-09T17:00,69,7,40.634,14.6027
402,2017-06-09T18:00,73,12,40.634,14.6027
403,2017-06-09T19:00,79,8,40.634,14.6027
404,2017-06-09T20:00,76,1,40.634,14.6027
405,2017-06-09T21:00,80,1,40.634,14.6027
406,2017-06-09T22:00,83,1,40.634,14.6027
407,2017-06-09T23:00,86,0,40.634,14.6027
408,2017-06-10T00:00,87,1,40.634,14.6027
409,2017-06-10T01:00,89,0,40.634,14.6027
410,2017-06-10T02:00,91,1,40.634,14.6027
411,2017-06-10T03:00,91,6,40.634,14.6027
412,2017-06-10T04:00,90,12,40.634,14.6027
413,2017-06-10T05:00,89,15,40.634,14.6027
414,2017-06-10T06:00,86,12,40.634,14.6027
415,2017-06-10T07:00,84,13,40.634,14.6027
416,2017-06-10T08:00,82,5,40.634,14.6027
417,2017-06-10T09:00,72,29,40.634,14.6027
418,2017-06-10T10:00,70,29,40.634,14.6027
419,2017-06-10T11:00,65,39,40.634,14.6027
420,2017-06-10T12:00,65,40,40.634,14.6027
421,2017-06-10T13:00,66,38,40.634,14.6027
422,2017-06-10T14:00,66,43,40.634,14.6027
423,2017-06-10T15:00,67,47,40.634,14.6027
424,2017-06-10T16:00,70,51,40.634,14.6027
425,2017-06-10T17:00,71,34,40.634,14.6027
426,2017-06-10T18:00,75,39,40.634,14.6027
427,2017-06-10T19:00,79,38,40.634,14.6027
428,2017-06-10T20:00,79,37,40.634,14.6027
429,2017-06-10T21:00,81,32,40.634,14.6027
430,2017-06-10T22:00,88,24,40.634,14.6027
431,2017-06-10T23:00,84,26,40.634,14.6027
432,2017-06-11T00:00,84,35,40.634,14.6027
433,2017-06-11T01:00,86,34,40.634,14.6027
434,2017-06-11T02:00,87,26,40.634,14.6027
435,2017-06-11T03:00,90,24,40.634,14.6027
436,2017-06-11T04:00,88,24,40.634,14.6027
437,2017-06-11T05:00,87,15,40.634,14.6027
438,2017-06-11T06:00,77,7,40.634,14.6027
439,2017-06-11T07:00,68,4,40.634,14.6027
440,2017-06-11T08:00,59,1,40.634,14.6027
441,2017-06-11T09:00,53,0,40.634,14.6027
442,2017-06-11T10:00,53,1,40.634,14.6027
443,2017-06-11T11:00,45,5,40.634,14.6027
444,2017-06-11T12:00,43,11,40.634,14.6027
445,2017-06-11T13:00,41,19,40.634,14.6027
446,2017-06-11T14:00,39,23,40.634,14.6027
447,2017-06-11T15:00,36,16,40.634,14.6027
448,2017-06-11T16:00,37,4,40.634,14.6027
449,2017-06-11T17:00,39,4,40.634,14.6027
450,2017-06-11T18:00,42,1,40.634,14.6027
451,2017-06-11T19:00,41,1,40.634,14.6027
452,2017-06-11T20:00,38,0,40.634,14.6027
453,2017-06-11T21:00,45,1,40.634,14.6027
454,2017-06-11T22:00,47,1,40.634,14.6027
455,2017-06-11T23:00,55,2,40.634,14.6027
456,2017-06-12T00:00,55,1,40.634,14.6027
457,2017-06-12T01:00,59,3,40.634,14.6027
458,2017-06-12T02:00,62,9,40.634,14.6027
459,2017-06-12T03:00,65,15,40.634,14.6027
460,2017-06-12T04:00,66,14,40.634,14.6027
461,2017-06-12T05:00,67,4,40.634,14.6027
462,2017-06-12T06:00,64,0,40.634,14.6027
463,2017-06-12T07:00,60,0,40.634,14.6027
464,2017-06-12T08:00,53,2,40.634,14.6027
465,2017-06-12T09:00,42,7,40.634,14.6027
466,2017-06-12T10:00,42,6,40.634,14.6027
467,2017-06-12T11:00,41,6,40.634,14.6027
468,2017-06-12T12:00,43,7,40.634,14.6027
469,2017-06-12T13:00,44,7,40.634,14.6027
470,2017-06-12T14:00,45,12,40.634,14.6027
471,2017-06-12T15:00,45,2,40.634,14.6027
472,2017-06-12T16:00,46,1,40.634,14.6027
473,2017-06-12T17:00,47,5,40.634,14.6027
474,2017-06-12T18:00,55,0,40.634,14.6027
475,2017-06-12T19:00,62,0,40.634,14.6027
476,2017-06-12T20:00,57,0,40.634,14.6027
477,2017-06-12T21:00,59,0,40.634,14.6027
478,2017-06-12T22:00,62,0,40.634,14.6027
479,2017-06-12T23:00,66,0,40.634,14.6027
480,2017-06-13T00:00,70,0,40.634,14.6027
481,2017-06-13T01:00,72,0,40.634,14.6027
482,2017-06-13T02:00,74,0,40.634,14.6027
483,2017-06-13T03:00,76,0,40.634,14.6027
484,2017-06-13T04:00,78,0,40.634,14.6027
485,2017-06-13T05:00,80,0,40.634,14.6027
486,2017-06-13T06:00,78,0,40.634,14.6027
487,2017-06-13T07:00,78,4,40.634,14.6027
488,2017-06-13T08:00,73,2,40.634,14.6027
489,2017-06-13T09:00,62,0,40.634,14.6027
490,2017-06-13T10:00,59,0,40.634,14.6027
491,2017-06-13T11:00,57,0,40.634,14.6027
492,2017-06-13T12:00,57,0,40.634,14.6027
493,2017-06-13T13:00,56,0,40.634,14.6027
494,2017-06-13T14:00,56,0,40.634,14.6027
495,2017-06-13T15:00,56,0,40.634,14.6027
496,2017-06-13T16:00,57,0,40.634,14.6027
497,2017-06-13T17:00,60,0,40.634,14.6027
498,2017-06-13T18:00,67,0,40.634,14.6027
499,2017-06-13T19:00,73,0,40.634,14.6027
500,2017-06-13T20:00,70,0,40.634,14.6027
501,2017-06-13T21:00,74,0,40.634,14.6027
502,2017-06-13T22:00,78,0,40.634,14.6027
503,2017-06-13T23:00,81,0,40.634,14.6027
504,2017-06-14T00:00,81,0,40.634,14.6027
505,2017-06-14T01:00,81,1,40.634,14.6027
506,2017-06-14T02:00,82,3,40.634,14.6027
507,2017-06-14T03:00,84,9,40.634,14.6027
508,2017-06-14T04:00,84,20,40.634,14.6027
509,2017-06-14T05:00,87,22,40.634,14.6027
510,2017-06-14T06:00,84,29,40.634,14.6027
511,2017-06-14T07:00,86,21,40.634,14.6027
512,2017-06-14T08:00,83,18,40.634,14.6027
513,2017-06-14T09:00,76,11,40.634,14.6027
514,2017-06-14T10:00,72,5,40.634,14.6027
515,2017-06-14T11:00,68,6,40.634,14.6027
516,2017-06-14T12:00,66,5,40.634,14.6027
517,2017-06-14T13:00,64,2,40.634,14.6027
518,2017-06-14T14:00,63,5,40.634,14.6027
